BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 1 9281CA (SN>616901),Force Plate 1 9281CA (SN>616901),Force Plate 1 9281CA (SN>616901)
Samples (#):,15797,15797,15797
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,15749,15749,15749
Contact period start time (s):,0,0,0
Contact period end time (s):,15.749,15.749,15.749
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:20:29",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0,-3.135918,-2.958591,702.669502
0.001,-3.176738,-3.078729,700.921219
0.002,-3.015104,-3.198698,704.245682
0.003,-3.095372,-3.15868,703.762764
0.004,-3.095372,-3.038711,703.29187
0.005,-2.935111,-3.118704,702.016006
0.006,-2.734029,-3.118704,701.224861
0.007,-3.055101,-2.75867,700.432411
0.008,-2.733754,-2.798709,702.96656
0.009,-2.934836,-2.678635,701.854248
0.01,-2.613764,-2.798666,702.325676
0.011,-2.332414,-2.478672,703.43438
0.012,-2.532672,-2.19863,702.320793
0.013,-2.131606,-2.118616,702.952621
0.014,-2.131606,-2.238691,703.743767
0.015,-2.091335,-2.438716,703.41716
0.016,-2.010792,-2.278708,702.78614
0.017,-1.930799,-2.118658,703.417343
0.018,-1.68972,-2.158697,703.579231
0.019,-1.489461,-1.918736,705.473633
0.02,-1.368922,-2.038727,705.630745
0.021,-1.008402,-2.078703,704.678589
0.022,-1.048124,-1.878614,705.783463
0.023,-0.887588,-2.118763,705.14933
0.024,-0.446525,-1.918736,706.256371
0.025,-0.566515,-1.758687,706.103027
0.026,-0.406528,-1.878677,707.205467
0.027,-0.36708,-1.798746,706.250992
0.028,-0.006285,-1.518643,708.787743
0.029,-0.005462,-1.678735,706.573784
0.03,0.035084,-1.598678,709.10006
0.031,0.033711,-1.478687,709.258354
0.032,0.235068,-1.238686,708.468201
0.033,0.274516,-1.158692,709.736694
0.034,0.153702,-1.278662,709.893318
0.035,0.475049,-1.078657,710.840439
0.036,0.515594,-1.278662,709.573631
0.037,0.675033,-0.718581,710.837654
0.038,0.876938,-0.878589,710.839287
0.039,0.676131,-0.758578,712.268669
0.04,0.996105,-0.838634,711.322395
0.041,0.795847,-0.998621,712.90596
0.042,0.836941,-0.918544,711.641266
0.043,0.955834,-1.198605,712.428963
0.044,0.876115,-0.918544,713.212021
0.045,0.71503,-1.078615,713.214981
0.046,0.99638,-1.198648,713.696602
0.047,1.116919,-1.118654,712.269493
0.048,0.795847,-1.238645,712.269791
0.049,0.634487,-1.198648,712.903648
0.05,0.955834,-1.078573,714.324997
0.051,0.996105,-1.358655,715.123329
0.052,0.916386,-1.358635,714.967514
0.053,0.795023,-1.238645,715.118401
0.054,0.75585,-1.398632,713.695595
0.055,0.916112,-1.038534,714.808533
0.056,0.995831,-1.238623,715.287369
0.057,0.875017,-1.438629,714.966217
0.058,0.915014,-1.478687,713.705109
0.059,0.714755,-1.238645,713.067375
0.06,0.553945,-1.318617,714.661964
0.061,0.432856,-1.318658,714.809677
0.062,0.513124,-1.478667,714.813309
0.063,0.192327,-1.158608,715.289673
0.064,0.232598,-1.038639,715.145355
0.065,0.112333,-1.198543,714.978172
0.066,-0.169292,-1.318617,714.501976
0.067,-0.249834,-1.278599,715.304794
0.068,-0.370099,-1.398611,715.302162
0.069,-0.571181,-1.198627,716.886894
0.07,-0.731717,-1.158608,715.787071
0.071,-0.772537,-1.198605,716.422981
0.072,-1.053339,-1.478687,715.786728
0.073,-0.972796,-1.478709,714.533546
0.074,-1.173604,-1.358676,715.154213
0.075,-1.535222,-1.15863,715.002495
0.076,-1.494676,-1.3187,715.958138
0.077,-1.334689,-1.358655,716.270782
0.078,-1.856294,-1.238665,715.808723
0.079,-2.176818,-1.358655,716.44091
0.08,-2.017379,-1.358676,715.32827
0.081,-2.417622,-1.438629,715.648781
0.082,-2.658975,-1.438629,715.810364
0.083,-2.537613,-1.518622,715.968643
