BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901)
Samples (#):,9563,9563,9563
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,9551,9551,9551
Contact period start time (s):,0,0,0
Contact period end time (s):,9.551,9.551,9.551
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:27:20",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0.146,6.963586,13.323142,609.713608
0.147,7.245794,13.925259,607.497353
0.148,7.24605,14.285997,604.171967
0.149,7.125268,14.648954,602.74794
0.15,7.245922,15.170315,600.220436
0.151,7.003974,15.571431,597.213509
0.152,7.12514,16.053302,595.471725
0.153,7.084751,16.494795,593.097679
0.154,6.963842,17.138177,591.195061
0.155,6.883064,17.859653,588.663368
0.156,6.883448,18.058879,584.86377
0.157,7.003846,18.662772,582.333076
0.158,6.883064,19.104709,580.115181
0.159,7.085007,19.74676,577.272827
0.16,7.044491,20.188253,575.210312
0.161,7.044619,20.671012,570.933655
0.162,7.00423,21.272242,567.617439
0.163,6.802416,21.835312,565.089691
0.164,7.206045,22.59894,561.758385
0.165,6.963714,22.920188,558.918289
0.166,7.165401,23.682929,555.593048
0.167,7.165529,24.44434,553.223946
0.168,7.085263,25.086834,548.006432
0.169,7.447865,25.409413,543.57901
0.17,7.286694,25.850018,541.369141
0.171,7.447865,26.734781,536.308151
0.172,7.609035,27.176273,532.672325
0.173,7.649296,27.619542,526.981415
0.174,7.730329,28.501641,523.026306
0.175,7.730201,28.94491,518.290688
0.176,8.09293,29.547472,514.329964
0.177,8.133574,30.110098,507.860382
0.178,8.25474,30.551148,503.272728
0.179,8.496688,30.954038,498.529251
0.18,8.577337,31.435466,493.950401
0.181,8.537204,31.637355,488.426628
0.182,8.617854,32.160048,482.888283
0.183,8.940322,32.561163,478.15168
