BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901)
Samples (#):,16122,16122,16122
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,16121,16121,16121
Contact period start time (s):,0,0,0
Contact period end time (s):,16.121,16.121,16.121
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:25:54",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0,6.19023,0.07261,697.798866
0.001,6.392173,0.274055,698.756149
0.002,6.432817,0.153366,698.599762
0.003,6.190358,-0.047192,697.496323
0.004,6.311524,-0.006814,698.739922
0.005,6.230747,-0.046748,698.277695
0.006,6.149714,0.074385,699.057983
0.007,5.988799,-0.007258,698.431519
0.008,5.94841,-0.088014,697.955162
0.009,6.029443,0.15381,698.746643
0.01,5.948666,0.153366,700.168808
0.011,5.988671,-0.087126,698.432991
0.012,5.948538,-0.047636,699.532974
0.013,6.069832,0.153366,699.06057
0.014,5.746852,0.07261,699.222137
0.015,5.747107,-0.046748,700.164528
0.016,5.988671,0.032676,699.697327
0.017,5.867889,0.113432,700.002792
0.018,6.190486,0.234121,699.371964
0.019,5.988671,-0.046748,699.211197
0.02,5.867889,0.073498,700.789825
0.021,5.867761,0.113876,701.26683
0.022,5.827628,-0.04808,700.793434
0.023,6.02906,0.034007,699.850594
0.024,5.706591,0.233678,700.793289
0.025,5.746979,0.034007,701.26107
0.026,5.625942,0.152922,702.058594
0.027,5.665819,0.112544,701.269447
0.028,5.706591,0.152478,700.477028
0.029,5.746852,0.274055,701.892128
0.03,5.585297,0.152922,701.102142
0.031,5.464899,0.073498,701.105751
0.032,5.343861,0.313102,701.105919
0.033,5.464643,0.233678,700.948799
0.034,5.424511,0.073498,701.736961
0.035,5.101786,-0.088458,701.092163
0.036,5.423999,-0.008146,702.055496
0.037,4.980365,0.192412,701.414474
0.038,5.585297,-0.007258,703.469292
0.039,5.464515,-0.048524,700.784554
0.04,5.222568,0.073054,701.5728
0.041,5.464387,0.032232,701.577522
0.042,5.141918,0.112988,701.572762
0.043,5.585553,0.072166,702.5186
0.044,5.263212,0.274499,701.253227
0.045,5.303345,-0.04808,701.725807
0.046,5.142174,0.192856,702.988342
0.047,5.465155,0.231902,701.566872
0.048,5.464643,0.393414,701.87706
0.049,5.303601,0.313102,701.878189
0.05,5.505415,0.152034,702.038788
0.051,5.383994,0.152478,701.563278
0.052,5.424383,0.111213,701.402649
0.053,5.424766,0.191968,701.879562
0.054,5.383866,0.232346,701.552261
0.055,5.383994,0.271836,702.824341
0.056,5.384122,0.313546,701.08197
0.057,5.142302,0.233234,702.672424
0.058,5.464771,0.151147,701.399582
0.059,5.303089,0.032232,702.820374
