BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901)
Samples (#):,11987,11987,11987
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,11986,11986,11986
Contact period start time (s):,0,0,0
Contact period end time (s):,11.986,11.986,11.986
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:26:37",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0.151,6.539645,0.833688,704.190224
0.152,6.458741,0.79331,704.814552
0.153,6.53939,0.512884,705.129372
0.154,6.660556,0.632686,705.293724
0.155,6.458868,0.431241,705.764297
0.156,6.338086,0.672176,705.5998
0.157,6.579906,0.672176,704.663368
0.158,6.458613,0.712998,705.13575
0.159,6.499129,0.51244,705.612106
0.16,6.579522,0.674396,706.718811
0.161,6.660044,0.672176,705.929321
0.162,6.498874,0.753819,706.717506
0.163,6.619783,0.712998,706.090744
0.164,6.377836,0.913556,706.875969
0.165,6.458357,0.592752,705.613564
0.166,6.700433,0.872734,706.405563
0.167,6.498618,0.752488,704.504753
0.168,6.700305,0.873621,705.29097
0.169,6.821215,0.632242,704.507202
0.17,6.740438,0.673064,706.395432
0.171,6.498362,0.833244,705.461861
0.172,6.740054,0.832356,705.13765
0.173,6.941741,0.95349,705.773346
0.174,6.860964,0.71211,705.461357
0.175,6.941613,0.79331,705.291489
0.176,7.103039,0.994311,704.669479
0.177,7.022262,0.712998,704.816559
0.178,6.981874,0.994311,704.513458
0.179,7.062139,0.793753,704.983124
0.18,7.183177,0.955265,705.617226
0.181,6.981234,0.874066,706.883743
0.182,7.061883,0.954821,707.353363
0.183,6.900585,0.954821,706.254662
0.184,6.940718,0.834575,705.777649
0.185,7.142532,1.073736,705.929237
0.186,6.900329,1.154935,704.825951
0.187,6.859813,1.115445,704.665016
0.188,7.020983,1.154935,705.935486
0.189,6.819552,1.274737,704.663086
0.19,6.900074,0.994311,704.832329
0.191,6.859557,1.074179,705.140587
0.192,6.940334,1.194869,704.983612
