BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 1 9281CA (SN>616901),Force Plate 1 9281CA (SN>616901),Force Plate 1 9281CA (SN>616901)
Samples (#):,10579,10579,10579
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,10578,10578,10578
Contact period start time (s):,0,0,0
Contact period end time (s):,10.578,10.578,10.578
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:21:26",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0,-3.839516,-4.342575,706.017166
0.001,-3.798422,-4.222501,704.276337
0.002,-3.838693,-4.182482,704.122437
0.003,-3.718977,-4.102552,705.852287
0.004,-3.678431,-4.10251,704.910454
0.005,-3.557892,-3.982456,704.120636
0.006,-3.719251,-4.182546,704.90535
0.007,-3.598437,-3.902505,704.752655
0.008,-3.678431,-4.062576,704.752655
0.009,-3.598163,-3.862487,703.797348
0.01,-3.918961,-4.10251,703.806824
0.011,-3.599261,-3.822469,704.595848
0.012,-3.719251,-4.182504,705.389442
0.013,-3.557892,-3.902442,706.187134
0.014,-3.478173,-3.942565,705.868095
0.015,-3.437901,-4.022559,705.705246
0.016,-3.397904,-4.022516,705.236893
0.017,-3.598712,-3.86255,706.027534
0.018,-3.477624,-3.942544,705.551346
0.019,-3.317636,-3.902547,706.98008
0.02,-3.518718,-3.782536,706.663322
0.021,-3.437627,-3.622527,706.6604
0.022,-3.157923,-3.542491,705.396828
0.023,-3.277639,-3.662524,705.552155
0.024,-3.478447,-3.782578,705.874161
0.025,-3.277091,-3.502453,705.718857
0.026,-3.518169,-3.582551,705.556625
0.027,-3.398179,-3.702563,706.513603
0.028,-3.397904,-3.542533,705.089775
0.029,-3.598712,-3.542555,704.768967
0.03,-3.478173,-3.462498,706.041832
0.031,-3.478173,-3.422522,707.151688
0.032,-3.397356,-3.30251,707.30883
0.033,-3.277639,-3.502495,706.202751
0.034,-3.598437,-3.182436,706.83625
0.035,-3.518444,-3.30249,705.889801
0.036,-3.518444,-3.222433,705.261391
0.037,-3.357633,-3.30249,705.58094
0.038,-3.478447,-3.262556,706.68486
0.039,-3.397904,-3.262493,707.483551
0.04,-3.518444,-2.902458,707.954491
0.041,-3.599535,-3.062446,706.857788
0.042,-3.679254,-2.862504,705.743973
0.043,-3.518993,-2.822423,706.070137
0.044,-3.559538,-2.702453,706.861252
0.045,-3.197646,-2.702474,708.605904
0.046,-3.679254,-2.582463,707.977829
0.047,-3.59981,-2.46243,706.876389
0.048,-3.478721,-2.542508,708.455826
0.049,-3.519542,-2.302401,707.823334
0.05,-3.680627,-2.382437,709.100037
0.051,-3.559538,-2.382416,708.946335
0.052,-3.479819,-2.422497,707.683266
0.053,-3.560362,-2.382437,709.746964
