BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901)
Samples (#):,12983,12983,12983
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,12982,12982,12982
Contact period start time (s):,0,0,0
Contact period end time (s):,12.982,12.982,12.982
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:25:05",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0.151,5.804873,0.171047,693.791962
0.152,5.603186,0.010423,693.481277
0.153,5.48202,-0.189247,693.319733
0.154,5.239561,-0.430626,693.79232
0.155,5.199428,-0.55176,692.686089
0.156,5.320082,-0.711496,693.152275
0.157,4.957225,-0.671562,694.258858
0.158,4.916837,-0.831298,694.577553
0.159,4.795671,-0.752317,694.10025
0.16,4.554107,-1.113943,694.410919
0.161,4.553595,-1.353547,695.675453
0.162,4.351781,-1.394813,694.245255
0.163,4.230871,-1.273235,693.614281
0.164,4.150221,-1.434746,694.241829
0.165,4.190738,-1.434746,693.606712
0.166,3.988795,-1.715616,693.765846
0.167,3.827624,-1.634861,694.55352
0.168,3.665943,-1.836306,694.861404
0.169,3.786853,-1.835862,695.020714
0.17,3.464511,-1.83675,695.175537
0.171,3.585166,-1.83675,696.440407
0.172,3.343729,-1.917505,696.272781
0.173,3.302702,-2.156665,695.961914
0.174,3.343346,-2.078129,696.273438
0.175,3.101143,-2.117619,695.950127
0.176,2.737901,-2.118063,695.945511
0.177,2.65738,-2.118507,697.368347
0.178,2.697513,-2.238309,695.152969
0.179,2.374661,-1.997374,696.102562
0.18,2.334527,-2.199263,697.042122
0.181,2.172973,-2.199263,697.987442
0.182,1.93077,-2.03997,696.40094
0.183,1.729211,-1.999149,697.664444
0.184,1.648818,-1.958771,698.136223
0.185,1.48752,-2.039083,699.082863
0.186,1.205311,-2.039526,700.33606
0.187,1.003496,-1.759545,700.025177
0.188,0.80181,-1.638855,700.809113
0.189,0.196877,-1.960546,699.070831
0.19,0.076606,-1.519053,702.072861
0.191,-0.246119,-1.637967,701.753288
0.192,-0.326768,-1.799922,703.963654
0.193,-0.609104,-1.519053,704.594528
0.194,-1.012478,-1.519053,704.907356
0.195,-0.971706,-1.759545,705.058067
0.196,-1.092743,-1.478675,705.846581
0.197,-1.536506,-1.436966,706.475464
0.198,-1.294302,-1.279449,707.905167
0.199,-1.939368,-1.238627,708.690521
0.2,-1.818458,-1.238183,707.897957
0.201,-2.141055,-1.078447,709.635414
0.202,-2.181571,-0.997692,710.265289
0.203,-2.302226,-0.87789,710.891373
0.204,-2.180932,-0.798022,711.050652
0.205,-2.140671,-0.636954,711.835732
0.206,-2.342358,-0.718597,712.311607
0.207,-2.382363,-0.517596,712.311737
0.208,-2.34223,-0.758531,713.728127
0.209,-2.543406,-0.71771,714.206963
0.21,-2.462885,-0.396906,713.419121
0.211,-2.422496,-0.518039,714.675949
0.212,-2.583922,-0.598351,713.248886
0.213,-2.946652,-0.477662,716.253922
0.214,-2.664316,-0.559305,715.93541
0.215,-2.663804,-0.437284,716.40255
0.216,-2.704448,-0.598351,715.938179
0.217,-2.66406,-0.39735,714.992531
0.218,-2.583411,-0.758088,717.833603
0.219,-2.704065,-0.556198,716.726463
0.22,-2.824975,-0.758975,716.569473
0.221,-2.542766,-0.55753,717.042252
0.222,-2.663676,-0.55753,716.880188
0.223,-2.38134,-0.476774,717.663773
0.224,-2.340696,-0.516264,717.671013
0.225,-2.542127,-0.314818,718.300369
0.226,-2.21953,-0.275772,717.508614
0.227,-2.138625,-0.596576,717.665749
0.228,-2.178886,-0.235838,717.034317
0.229,-1.896294,-0.236282,717.823868
0.23,-1.896038,-0.475886,717.668022
0.231,-1.573953,-0.394687,717.031075
0.232,-1.533437,-0.515821,717.825012
0.233,-1.170068,-0.477218,718.294952
0.234,-1.250717,-0.596576,717.185104
0.235,-1.008641,-0.595244,716.870079
0.236,-1.048774,-0.55531,718.133415
0.237,-0.887604,-0.596132,717.503471
0.238,-0.564879,-0.514933,716.56115
0.239,-0.403836,-0.595244,717.507286
0.24,-0.201382,-0.675557,717.348816
0.241,0.040182,-0.835293,717.510712
0.242,0.363418,-0.674225,717.349747
0.243,0.686015,-0.633403,717.668175
0.244,0.685887,-0.674225,717.666855
0.245,0.847313,-0.715046,718.299057
0.246,0.807052,-0.676,716.721214
0.247,1.29082,-0.714159,717.350456
0.248,1.331592,-0.797134,717.986542
0.249,1.372108,-0.392911,718.300835
0.25,1.574051,-0.635179,718.144325
0.251,1.735221,-0.55531,717.82547
0.252,1.856131,-0.312156,716.718712
0.253,1.816126,-0.634735,715.297882
0.254,2.017813,-0.474555,716.239769
0.255,1.977553,-0.514933,716.878189
0.256,2.058458,-0.313043,716.880463
0.257,2.058074,-0.392467,717.031677
0.258,2.380799,-0.273109,717.033005
0.259,2.582741,-0.514045,717.034355
0.26,2.421187,-0.312156,716.402351
0.261,2.622618,-0.151976,717.668282
0.262,2.864566,-0.352977,715.770103
0.263,3.107025,-0.313043,717.034508
0.264,3.026504,-0.232287,716.405937
0.265,3.187546,-0.393799,716.402603
0.266,3.349356,-0.432845,716.883537
0.267,3.308712,-0.192354,716.24707
0.268,3.429494,-0.474111,716.248878
0.269,3.671569,-0.272666,716.727379
0.27,3.510783,-0.152864,716.888275
0.271,3.469882,-0.194129,716.250549
0.272,4.075199,-0.153307,716.884026
0.273,3.99455,0.12845,717.195381
0.274,4.075199,0.128006,717.194908
0.275,4.11546,-0.154195,715.618065
0.276,4.196109,-0.034393,716.888489
0.277,4.357535,0.006429,716.882393
0.278,4.11546,0.287742,717.519203
0.279,4.679876,0.327232,717.358749
0.28,4.599099,0.32812,719.413727
0.281,4.55871,0.44881,716.418999
0.282,4.639104,0.368054,717.358406
0.283,4.599099,0.248252,715.776947
0.284,4.679876,0.125343,716.884178
0.285,4.760269,0.368498,716.575493
0.286,4.760653,0.769614,717.679085
0.287,4.961829,0.527347,716.889313
0.288,4.679876,0.60899,714.996002
0.289,4.437545,0.448366,714.51461
0.29,4.558455,0.689301,716.564194
0.291,4.921184,1.049595,716.102699
0.292,4.517555,0.728348,715.465477
0.293,4.719369,0.968396,717.678116
0.294,4.517938,1.049152,716.257095
0.295,4.638592,0.968396,715.315231
0.296,4.719369,0.888084,716.568443
0.297,4.437161,0.84815,716.416405
0.298,4.598204,1.049152,715.777977
0.299,4.880412,1.209775,717.047592
0.3,4.517555,1.089086,716.413918
0.301,4.396389,1.330021,717.20652
0.302,4.678725,1.169397,718.153488
0.303,4.718858,1.370843,717.053108
0.304,4.315484,1.169397,716.885521
0.305,4.557432,1.450711,717.205231
0.306,4.557688,1.450711,716.893074
0.307,4.19483,1.369512,718.311615
0.308,4.274968,1.611335,717.364815
0.309,4.315612,1.570513,717.044495
0.31,4.315612,1.729362,718.159576
0.311,4.476782,1.771515,717.680916
0.312,4.355489,1.691203,717.367439
0.313,4.355489,1.651268,718.631668
0.314,4.435882,1.77107,717.845909
0.315,4.275223,1.771515,717.687157
0.316,4.194446,1.691203,718.161034
0.317,4.476399,1.731137,720.212479
0.318,4.436138,1.851826,718.954002
0.319,4.436778,1.450267,719.431465
0.32,4.476399,1.570957,718.319
0.321,4.39575,1.731137,718.486137
0.322,4.234579,1.571401,719.899628
0.323,4.476782,1.892648,718.173828
0.324,4.476654,1.772402,719.587639
0.325,4.758735,1.411221,719.428299
0.326,4.637953,1.772402,719.749077
0.327,4.718858,1.6526,719.434242
0.328,4.597437,1.411221,719.598747
0.329,4.557048,1.412108,718.960358
0.33,4.67783,1.612666,720.546707
0.331,4.879773,1.332241,719.592194
0.332,4.83964,1.29275,719.754288
0.333,4.96055,1.212882,719.283821
0.334,4.678086,1.252373,718.80571
0.335,4.920289,0.971503,720.388756
0.336,4.960422,0.810435,718.971489
0.337,5.162109,0.770501,719.607445
0.338,4.960422,0.891634,719.767876
0.339,5.081332,0.891634,720.558022
0.34,5.283274,0.772276,720.717262
0.341,5.081587,0.570387,719.929497
0.342,5.242758,0.250472,719.13929
0.343,5.484833,0.692409,719.14045
0.344,5.403801,0.532228,719.936981
0.345,5.484706,0.330783,719.300079
0.346,5.686265,0.41287,719.777893
0.347,5.525222,0.411983,718.9888
0.348,5.565483,0.170603,719.778389
0.349,5.60536,0.251802,718.986115
0.35,5.646387,-0.029511,719.618126
0.351,5.806919,0.132,718.685959
0.352,5.605743,-0.069001,718.524193
0.353,5.686265,0.00998,717.264565
0.354,5.968601,-0.189247,717.738953
0.355,5.928212,-0.269558,716.628937
0.356,5.726781,-0.108935,718.052765
0.357,5.847691,-0.391136,717.901367
0.358,6.250937,-0.390248,718.367378
0.359,6.209781,-0.309937,716.15918
0.36,6.089255,-0.710165,716.639587
0.361,6.250681,-0.549541,718.059814
0.362,6.210037,-0.669786,717.902504
0.363,6.290942,-0.548653,717.435478
0.364,6.411596,-0.871232,718.539619
0.365,6.250425,-0.9511,716.174706
0.366,6.452112,-0.9511,717.908432
0.367,6.089255,-0.950656,716.652237
0.368,6.45224,-1.030524,716.488266
0.369,6.371079,-1.393037,715.391823
0.37,6.330947,-1.433415,716.970291
0.371,6.008478,-1.151214,717.44352
0.372,6.371207,-1.151658,717.292938
0.373,6.089382,-1.674795,716.346962
0.374,6.209909,-1.513283,715.705956
0.375,6.250297,-1.592264,716.498695
0.376,6.209653,-1.512395,717.614746
0.377,6.129004,-1.592264,715.876976
0.378,6.693676,-1.27146,715.717735
0.379,6.53225,-1.472462,716.829727
0.38,6.854975,-1.35266,715.569305
0.381,7.177827,-1.592264,715.881943
0.382,7.217832,-1.432528,716.522118
0.383,7.338997,-1.51062,716.518021
0.384,7.822381,-1.390818,715.251732
0.385,7.903286,-1.592264,715.894875
0.386,8.185622,-1.832756,713.675018
0.387,8.226139,-1.911292,714.472206
0.388,8.266271,-2.152227,714.000603
0.389,8.588996,-1.831868,713.368332
0.39,8.790811,-2.393607,713.211136
0.391,8.871588,-2.313295,714.3218
0.392,8.830944,-2.191274,713.210487
0.393,8.709906,-2.150896,711.640053
0.394,8.66939,-2.473475,712.428864
0.395,8.709906,-2.593721,710.056793
0.396,8.548736,-2.994836,711.638893
0.397,8.225627,-2.673145,710.537079
0.398,8.38667,-2.913637,711.794685
0.399,8.346793,-3.154572,710.69574
0.4,8.265888,-3.194507,711.013603
0.401,8.185239,-3.154572,708.95388
0.402,8.144978,-3.355574,708.954491
0.403,8.184855,-3.316084,710.383705
0.404,8.306148,-3.435442,708.960144
0.405,8.023045,-3.595622,709.429703
0.406,7.983296,-3.475821,709.756416
0.407,7.98304,-3.554801,708.169029
0.408,8.063817,-3.433667,707.534996
0.409,8.144083,-3.556132,706.751564
0.41,8.103566,-3.515755,706.120583
0.411,8.265632,-3.514866,706.905441
0.412,8.144339,-3.514866,707.542885
0.413,8.507196,-3.474045,706.118141
0.414,8.224732,-3.556132,705.329262
0.415,8.184471,-3.474488,706.437431
0.416,8.265121,-3.434999,705.167694
0.417,8.46668,-3.594291,705.810379
0.418,8.628234,-3.514866,705.646667
0.419,8.46668,-3.434999,705.335167
0.42,8.466936,-3.555244,706.28196
0.421,8.587461,-3.715868,704.706764
0.422,8.50694,-3.715868,704.858658
0.423,8.547201,-3.554801,704.546364
0.424,8.264737,-3.554357,704.225166
0.425,8.546945,-3.474045,705.02169
0.426,8.587206,-3.43633,704.541641
0.427,8.506429,-3.595178,703.912888
0.428,8.466296,-3.435442,703.284416
0.429,8.506557,-3.474488,703.912041
0.43,8.587334,-3.354243,703.284462
0.431,8.58695,-3.032108,704.543541
0.432,8.385391,-3.314753,702.811188
0.433,8.304614,-3.556132,702.3311
0.434,8.546945,-3.435442,703.917725
0.435,8.385391,-3.675934,702.651108
0.436,8.103055,-3.757133,702.653397
0.437,8.224093,-3.636,702.647034
0.438,8.546689,-3.434111,701.538322
0.439,8.183448,-3.676378,702.964767
0.44,8.425907,-3.314753,702.32991
0.441,8.425524,-3.516198,702.969521
0.442,8.385263,-3.275706,703.912491
0.443,8.667727,-3.354687,702.813843
0.444,8.58695,-3.194507,702.332062
0.445,8.667472,-3.354687,703.441444
0.446,8.667599,-3.43633,703.122726
0.447,8.828642,-3.395952,702.494125
0.448,8.748249,-3.275262,702.341858
0.449,8.869158,-3.073373,702.648354
0.45,8.828897,-3.75669,703.127754
0.451,8.828514,-3.477151,703.43718
0.452,8.828642,-3.355574,702.334686
0.453,8.908779,-3.555244,702.657021
0.454,8.828514,-3.515755,702.011559
0.455,8.98994,-3.716755,702.174118
0.456,9.030201,-3.395952,703.44503
0.457,8.868775,-3.556132,703.601517
0.458,8.787997,-3.475821,702.966766
0.459,8.828258,-3.516642,702.648674
0.46,8.828131,-3.556132,701.706604
0.461,8.545666,-3.597841,701.382843
0.462,8.505917,-3.797068,702.962143
0.463,8.626571,-3.757133,702.322899
0.464,8.585671,-3.837002,702.332726
0.465,8.545922,-3.957248,703.913536
0.466,8.384752,-3.878267,702.808258
0.467,8.223453,-3.957692,702.801086
0.468,8.424628,-3.957692,701.539185
0.469,8.061771,-3.998069,702.807503
0.47,7.940733,-4.158693,702.965576
0.471,8.142292,-3.957248,702.808571
0.472,7.860084,-4.278939,702.492516
0.473,7.900473,-4.077049,701.381172
0.474,7.65827,-4.400516,702.171669
0.475,7.658397,-4.198183,702.008453
0.476,7.618137,-4.280271,702.812218
0.477,7.860084,-4.359251,703.119911
0.478,7.536848,-4.158693,703.121742
0.479,7.658014,-4.400072,701.854782
0.48,7.376317,-4.440006,701.22142
0.481,7.295412,-4.360583,703.597397
0.482,7.416066,-4.480828,702.329262
0.483,7.416194,-4.601518,701.852303
0.484,7.255024,-4.280271,702.010742
0.485,7.335801,-4.44045,701.221809
0.486,7.134242,-4.641008,701.844627
0.487,7.093853,-4.562027,701.851791
0.488,6.811006,-4.480384,700.9011
0.489,6.85165,-4.56114,700.897621
0.49,6.770873,-4.521206,701.054123
0.491,6.569314,-4.682717,700.266792
0.492,6.609574,-4.440894,700.424583
0.493,6.488281,-4.48216,698.999977
0.494,6.166067,-4.641452,698.841316
0.495,6.206328,-4.521649,699.147636
0.496,6.367371,-4.723539,698.991951
0.497,6.16594,-4.561584,698.041374
0.498,6.085035,-4.60285,696.939064
0.499,6.044902,-4.68183,696.140785
0.5,5.964253,-4.442669,694.877029
0.501,5.721922,-4.361914,693.775047
0.502,5.883348,-4.321092,693.122215
0.503,5.641528,-4.322423,693.447456
0.504,5.722049,-4.48216,692.810738
0.505,5.601395,-4.203065,690.906822
0.506,5.440097,-3.96213,691.064644
0.507,5.560879,-3.681704,688.374687
0.508,5.561007,-3.68126,686.632339
0.509,5.521002,-3.559682,686.313904
0.51,5.318676,-3.561458,684.572922
0.511,5.762566,-3.360012,684.095558
0.512,5.48023,-2.999275,682.190834
0.513,5.520746,-2.88036,680.291328
0.514,5.359448,-2.357667,679.503098
0.515,5.802443,-2.720624,677.596115
0.516,5.520618,-2.158441,675.220772
0.517,5.641912,-2.038639,675.048584
0.518,5.641784,-1.518609,672.837173
0.519,5.802954,-1.196918,670.617691
0.52,5.88386,-0.635623,670.139343
0.521,5.762949,-0.435508,667.922935
0.522,5.964508,0.005097,665.863281
0.523,5.883987,0.445703,665.06469
0.524,6.246844,0.726129,664.111176
0.525,6.045286,1.08731,662.203674
0.526,6.085419,1.850051,660.944061
0.527,6.246717,2.288438,660.456406
0.528,6.408527,2.68911,658.870064
0.529,6.408399,3.130603,655.861877
0.53,6.48892,3.813032,654.591454
0.531,6.529181,4.532732,655.062729
0.532,6.488792,4.613931,655.052002
0.533,6.327494,5.375785,654.257629
0.534,6.408527,5.655323,653.94693
0.535,6.328261,6.338639,653.307198
0.536,6.36801,6.658111,653.461243
0.537,6.408399,6.817403,654.402153
0.538,6.449171,6.776138,655.345642
0.539,6.166963,6.937205,654.078842
0.54,5.965148,6.615958,655.020874
0.541,5.965148,6.816516,654.545128
0.542,5.84411,6.975808,656.916908
0.543,5.521641,6.532983,657.231689
0.544,5.320338,6.774806,656.911819
0.545,5.03813,6.573361,658.01902
0.546,4.876832,6.653673,658.803459
0.547,4.392808,6.492162,660.704437
0.548,4.110728,6.612407,660.062576
0.549,3.86878,6.733541,661.165352
0.55,3.465406,6.653673,661.640717
0.551,3.303981,6.893721,662.900978
0.552,2.90099,6.933211,664.009041
0.553,2.780208,6.852456,665.2742
0.554,2.336702,6.811634,664.161392
0.555,2.135143,6.852899,664.168777
0.556,1.812418,6.691832,664.795013
0.557,1.933584,6.691832,667.326057
0.558,1.97346,6.691388,667.165977
0.559,1.933456,6.692275,666.84494
0.56,1.529954,6.692275,668.117981
0.561,1.651503,6.532096,668.114067
0.562,1.610987,6.452228,668.116516
0.563,1.61137,6.25167,667.000595
0.564,1.651759,6.332426,669.693825
0.565,1.571238,6.212624,668.89814
0.566,1.571238,6.212624,667.15976
0.567,1.733175,6.052,667.324257
0.568,1.773052,5.892264,668.113365
0.569,1.4911,5.691262,667.320976
0.57,1.693043,5.811508,666.213242
0.571,2.015384,5.610506,665.747604
0.572,1.69317,5.530638,665.109818
0.573,1.854597,5.050099,664.476219
0.574,1.653038,4.971118,664.008842
0.575,1.572516,5.011496,662.893784
0.576,1.693298,4.610824,662.90519
0.577,1.69381,4.529181,662.425781
0.578,1.814976,4.169331,662.264549
0.579,1.855364,3.929283,660.372925
0.58,1.694449,3.769547,659.104095
0.581,1.532895,3.608923,659.420219
0.582,1.774971,3.529499,658.473259
0.583,1.613928,3.208252,655.943916
0.584,1.856259,2.887004,655.93589
0.585,1.614056,2.726381,654.359184
0.586,1.735349,2.888335,654.370445
0.587,1.654956,2.608354,651.044426
0.588,1.81651,2.5662,650.093689
0.589,1.534302,2.126482,648.827049
0.59,1.735861,2.086992,648.350372
0.591,1.776377,2.165972,647.23922
0.592,1.695856,1.804791,646.458359
0.593,1.978576,1.806123,644.712608
0.594,1.655851,1.565187,643.611115
0.595,1.978704,1.564744,641.236908
0.596,1.777656,1.485763,640.444511
0.597,2.261679,1.525253,639.962883
0.598,2.221546,1.526141,638.702606
0.599,2.100636,1.525697,636.649132
0.6,2.262191,1.406339,635.375214
0.601,2.261935,1.246603,635.219612
0.602,2.302707,1.406783,633.009857
0.603,2.383868,1.166291,631.735695
0.604,2.545038,1.44716,631.098961
0.605,2.827502,1.24749,630.148354
0.606,2.787625,1.608228,629.04686
0.607,2.626071,1.527028,626.98748
0.608,2.788137,1.68854,625.713615
0.609,3.110478,1.608672,624.127594
0.61,2.586833,1.809673,622.543304
