BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 1 9281CA (SN>616901),Force Plate 1 9281CA (SN>616901),Force Plate 1 9281CA (SN>616901)
Samples (#):,10393,10393,10393
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,10392,10392,10392
Contact period start time (s):,0,0,0
Contact period end time (s):,10.392,10.392,10.392
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:23:00",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0,-6.56417,3.767496,709.777138
0.001,-6.483079,3.967522,709.781082
0.002,-6.443356,4.207588,708.509827
0.003,-6.402811,4.127615,709.617043
0.004,-6.563896,3.847511,709.613762
0.005,-6.523625,3.887508,709.458763
0.006,-6.684435,4.207588,708.823128
0.007,-6.564445,4.247563,708.030373
0.008,-6.56417,4.207588,708.345322
0.009,-6.684435,4.167507,708.976974
0.01,-6.96606,4.527625,708.188156
0.011,-6.564445,4.407593,709.609657
0.012,-6.684984,4.367575,709.457764
0.013,-6.685259,4.527583,708.823151
0.014,-7.006331,4.607619,709.14399
0.015,-6.764703,4.607619,708.819565
0.016,-7.126321,4.887681,709.456795
0.017,-6.764154,4.887681,709.294556
0.018,-7.045779,4.847663,707.714287
0.019,-6.885792,4.887659,709.128738
0.02,-7.005508,4.60764,709.136307
0.021,-6.964962,4.60766,709.604095
0.022,-7.005782,4.807602,709.131683
0.023,-6.965236,4.927698,709.288162
0.024,-7.165495,4.847641,709.77108
0.025,-6.884694,4.927635,708.815758
0.026,-7.20659,4.887618,708.970612
0.027,-6.92524,5.007671,708.666862
0.028,-7.085227,5.167679,709.928886
0.029,-7.004959,5.087686,709.923973
0.03,-6.924691,5.407702,711.187004
0.031,-6.885517,5.367705,708.814285
0.032,-7.005233,5.247672,710.085236
0.033,-6.764154,5.327624,709.451073
0.034,-6.8047,5.207592,709.28788
0.035,-6.884419,5.407639,710.711151
0.036,-6.964962,5.487654,709.123154
0.037,-6.804151,5.487695,710.865181
0.038,-6.884968,5.487632,708.968987
0.039,-6.603618,5.487632,710.080132
0.04,-6.924691,5.607708,710.719727
0.041,-6.723883,5.647704,710.244522
0.042,-6.884694,5.487738,708.657646
0.043,-6.924416,5.647662,709.597702
0.044,-6.8047,5.607665,710.395737
0.045,-6.804151,5.447657,710.399681
0.046,-6.522252,5.607644,710.712479
0.047,-6.643341,5.527629,711.029228
0.048,-6.60252,5.327646,711.34581
0.049,-6.763605,5.447615,710.866486
0.05,-6.563072,5.247568,711.187683
0.051,-6.603893,5.327603,710.864029
0.052,-6.523076,5.327583,710.873726
0.053,-6.282546,5.287586,711.344666
0.054,-6.402536,5.247589,710.552887
0.055,-6.281173,5.127535,712.769417
0.056,-6.481981,4.887597,711.813934
0.057,-6.361442,5.047563,711.669777
0.058,-6.32117,4.927593,710.872421
0.059,-6.362539,4.647511,711.026085
0.06,-6.241451,5.047563,711.823456
0.061,-6.321719,4.68757,711.821129
0.062,-6.44171,4.767501,710.235802
0.063,-6.361442,4.767543,711.344475
0.064,-6.401438,4.767564,710.874199
0.065,-6.161183,4.687508,710.236954
0.066,-6.240902,4.567516,710.081726
0.067,-6.281722,4.607556,709.450577
0.068,-6.120912,4.487503,710.244301
0.069,-6.361716,4.727526,709.440063
0.07,-6.281722,4.487481,709.441872
0.071,-6.200905,4.567496,708.814308
0.072,-6.360893,4.687508,709.766815
0.073,-6.321719,4.367427,709.288498
0.074,-6.481707,4.407445,710.235451
0.075,-6.722236,4.527499,708.973564
0.076,-6.241451,4.567516,709.765968
0.077,-6.361716,4.607513,710.559242
0.078,-6.481707,4.687549,709.291595
0.079,-6.320896,4.407487,710.242973
