BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 1 9281CA (SN>616901),Force Plate 1 9281CA (SN>616901),Force Plate 1 9281CA (SN>616901)
Samples (#):,15135,15135,15135
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,15134,15134,15134
Contact period start time (s):,0,0,0
Contact period end time (s):,15.134,15.134,15.134
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:18:27",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0,-8.542353,-6.668887,710.50824
0.001,-8.541255,-6.628933,710.825012
0.002,-8.180186,-6.78892,709.558838
0.003,-8.099918,-6.868977,711.455704
0.004,-8.180461,-6.468862,710.662109
0.005,-7.818843,-6.548814,710.819748
0.006,-7.859389,-6.628849,711.136826
0.007,-7.657758,-6.308853,710.821045
0.008,-7.818843,-6.468883,711.454239
0.009,-7.457499,-6.388826,711.612503
0.01,-7.498319,-6.228755,711.454376
0.011,-7.457499,-6.34885,711.285919
0.012,-7.33641,-6.628933,709.70433
0.013,-7.256417,-6.508817,710.025009
0.014,-7.256692,-6.388868,709.862274
0.015,-7.176698,-6.468799,710.342896
0.016,-6.976714,-6.108765,710.970322
0.017,-6.975891,-6.50888,710.019257
0.018,-6.695638,-6.108806,711.765244
0.019,-6.775083,-6.228776,710.184128
0.02,-6.895897,-6.188778,710.655029
0.021,-6.936717,-5.948756,710.971802
0.022,-6.575099,-6.068788,710.961929
0.023,-6.654544,-6.028749,710.815155
0.024,-6.936442,-6.148824,710.339127
0.025,-6.574825,-6.028812,710.658005
0.026,-6.695089,-5.948756,709.708282
0.027,-6.615645,-6.268836,709.868027
0.028,-6.856449,-6.188821,708.285141
0.029,-6.49538,-6.108722,709.871155
0.03,-6.61592,-6.268815,709.397263
0.031,-6.737007,-6.228796,708.763107
0.032,-6.77673,-6.228796,706.86676
0.033,-6.777004,-6.268772,707.974289
0.034,-6.857546,-6.34883,707.821091
0.035,-6.977263,-6.268836,707.342957
0.036,-6.937266,-6.028791,707.978394
0.037,-6.856723,-6.148761,707.503693
0.038,-7.058079,-6.068725,707.657883
0.039,-6.898367,-6.308812,706.243774
0.04,-6.857272,-6.348787,705.601074
0.041,-7.099174,-6.228796,705.922302
0.042,-6.817001,-6.348766,706.714371
