BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 1 9281CA (SN>616901),Force Plate 1 9281CA (SN>616901),Force Plate 1 9281CA (SN>616901)
Samples (#):,15196,15196,15196
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,15195,15195,15195
Contact period start time (s):,0,0,0
Contact period end time (s):,15.195,15.195,15.195
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:19:26",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0,-1.773634,2.070277,700.788162
0.001,-1.57365,2.310299,701.418373
0.002,-1.293123,2.630295,701.727226
0.003,-1.291751,2.630316,701.559067
0.004,-0.810965,2.910357,702.666313
0.005,-0.890685,3.110342,702.192276
0.006,-0.650155,3.190314,702.342674
0.007,-0.609609,3.310347,703.61113
0.008,-0.449347,3.51031,703.917053
0.009,-0.167997,3.710356,703.919502
0.01,0.031987,4.030394,704.86454
0.011,0.153075,4.270459,706.285187
0.012,0.233343,4.310476,706.918198
0.013,0.474422,4.35039,706.913734
0.014,0.835766,4.390429,706.589638
0.015,0.835492,4.590454,708.332787
0.016,0.755498,4.790439,708.485352
0.017,1.156289,4.870432,708.803223
0.018,1.116018,4.830414,709.430954
0.019,1.236558,5.150494,708.634094
0.02,1.075747,5.150452,708.951538
0.021,1.27628,5.270505,710.527512
0.022,1.316826,5.310503,710.534912
0.023,1.437091,5.390475,710.218346
0.024,1.437914,5.470469,710.367584
0.025,1.357097,5.470531,713.064941
0.026,1.397094,5.670537,711.48188
0.027,1.316826,5.630476,712.261826
0.028,1.557081,5.830524,711.484482
0.029,1.598176,5.950578,710.686325
0.03,1.517359,6.030591,711.634773
0.031,1.556258,5.990616,711.627861
0.032,1.557355,5.950535,713.372162
0.033,1.39627,6.230639,712.417183
0.034,1.356548,6.150624,713.366745
0.035,0.99493,6.150645,712.886139
0.036,1.47599,6.030613,711.459351
0.037,1.11492,6.110627,711.935249
0.038,1.034378,6.07061,711.930305
0.039,0.83357,6.110649,713.678413
0.04,0.913564,6.150645,711.769264
0.041,0.593315,5.990616,713.036713
0.042,0.432779,5.79059,712.404709
0.043,0.712482,5.710659,711.919334
0.044,0.472227,5.710576,712.553795
0.045,0.310867,5.710576,711.436234
0.046,0.150056,5.630603,712.392204
0.047,0.150331,5.430598,711.130844
0.048,-0.091297,5.350541,710.652481
0.049,-0.251833,5.470552,710.961365
0.05,-0.091297,5.230551,711.119789
0.051,-0.492363,5.43064,709.689583
0.052,-0.372098,5.190491,710.802406
0.053,-0.49401,5.430598,711.118477
0.054,-0.81371,4.990528,710.479408
0.055,-0.814533,5.070543,710.952972
0.056,-1.216148,4.790502,708.897964
0.057,-1.176426,5.070521,709.999275
0.058,-1.336688,4.830561,709.049538
0.059,-1.096981,4.870495,709.99881
0.06,-1.497224,4.830561,709.837059
0.061,-1.498322,4.590476,709.997635
0.062,-1.617763,4.710508,708.243469
0.063,-1.779672,4.870579,709.039368
0.064,-1.979656,4.510482,708.406853
0.065,-2.0213,4.550499,709.355286
0.066,-2.140741,4.71055,709.67514
0.067,-2.141016,4.510524,709.512917
0.068,-2.342372,4.430489,707.612762
0.069,-2.261006,4.510524,708.085175
0.07,-2.502908,4.550479,707.763351
0.071,-2.342372,4.030436,708.402252
0.072,-2.583451,4.190445,707.756767
0.073,-2.823432,3.990439,707.439873
0.074,-2.823706,4.030457,707.600952
0.075,-2.943971,3.630383,707.758598
0.076,-2.984517,3.950422,706.805389
0.077,-2.743713,3.750416,707.586166
0.078,-2.823432,3.950442,707.743645
0.079,-2.583176,3.590429,707.432816
0.08,-2.583176,3.510393,707.265984
0.081,-2.743164,3.590366,706.000153
0.082,-2.743438,3.430378,705.998337
0.083,-2.622624,3.510393,706.777458
0.084,-2.623173,3.070365,706.146263
0.085,-2.462362,3.110342,705.828369
0.086,-2.301277,3.270392,706.782227
0.087,-2.261006,3.350406,706.778954
0.088,-2.14129,3.19044,706.931137
0.089,-2.180463,2.910336,706.930862
0.09,-1.860489,2.950312,706.296333
0.091,-1.820492,2.790283,707.398483
0.092,-1.820218,2.950312,707.709106
0.093,-1.66023,2.870339,708.185631
0.094,-1.418603,3.030306,706.288635
0.095,-1.579413,2.67025,706.12294
0.096,-1.258341,2.430165,706.440369
0.097,-1.297789,2.830258,706.592232
0.098,-1.21807,2.390189,707.06794
0.099,-0.937268,2.630254,707.227051
0.1,-0.776458,2.510283,706.590096
0.101,-0.816729,2.670208,707.219009
0.102,-0.535653,2.590236,706.270752
0.103,-0.416212,2.270156,707.374329
0.104,-0.335395,2.550197,707.051857
0.105,-0.334571,2.430206,707.525772
0.106,-0.135136,2.670208,708.475822
0.107,0.065946,2.750202,707.052505
0.108,-0.174584,2.710205,709.10257
0.109,0.024851,2.510179,707.361374
0.11,0.065122,2.790199,708.632469
0.111,0.185387,2.630211,708.310463
0.112,0.024577,2.790199,709.575821
0.113,0.306201,2.910253,708.77829
0.114,0.10457,2.750161,708.151199
0.115,-0.016244,2.870192,709.096336
0.116,0.024851,2.870192,707.032471
0.117,0.224835,2.710164,708.932968
0.118,0.10457,2.750161,708.294701
0.119,0.264832,2.670187,708.770737
0.12,0.305103,2.870234,708.450523
0.121,0.3451,2.830196,707.98175
0.122,0.545908,2.390125,707.028206
0.123,0.344826,2.550197,707.810959
0.124,0.546182,2.830237,707.181259
0.125,0.425917,2.630211,708.915558
0.126,0.626176,2.710205,707.486656
0.127,0.545908,2.670292,707.333771
