BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901)
Samples (#):,18280,18280,18280
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,18279,18279,18279
Contact period start time (s):,0,0,0
Contact period end time (s):,18.278999,18.278999,18.278999
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:24:12",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0,7.548656,1.067138,718.894402
0.001,7.750599,0.866136,718.108505
0.002,7.750727,0.78538,719.535561
0.003,8.516702,0.826646,718.750359
0.004,8.476314,0.706844,717.484703
0.005,8.798527,0.746778,718.283356
0.006,9.16164,0.626976,719.558365
0.007,9.242289,0.547108,717.973007
0.008,9.484109,0.307504,717.506317
0.009,9.766573,0.306616,717.825577
0.01,9.766445,0.228079,718.298264
0.011,10.129175,0.147768,717.988426
0.012,10.250212,0.148211,717.048531
0.013,10.411638,-0.213414,717.201454
0.014,10.734107,-0.372706,717.046738
0.015,10.854634,-0.532886,715.944069
0.016,10.935667,-0.694841,716.422241
0.017,10.97631,-0.69351,715.794632
0.018,11.419306,-0.612754,716.438606
0.019,11.298396,-0.772047,715.477264
0.02,11.459695,-0.650913,717.070801
0.021,11.540727,-0.770715,716.277084
0.022,11.58086,-0.973048,715.025024
0.023,11.621249,-0.931339,714.071526
0.024,11.82268,-1.093294,714.392197
0.025,11.98385,-0.931783,715.186714
0.026,11.863196,-0.969941,715.18737
0.027,12.186049,-1.454475,712.974617
0.028,11.98385,-1.251698,713.929619
0.029,12.306447,-1.372388,712.661972
0.03,12.38748,-1.210433,712.661751
0.031,12.588911,-1.291633,712.989685
0.032,12.387096,-1.329791,712.827141
0.033,12.347347,-1.491302,712.516174
0.034,12.870992,-1.330235,712.033096
0.035,12.709821,-1.531237,711.405014
0.036,13.03229,-1.329791,711.260155
0.037,13.072679,-1.290301,710.463631
0.038,13.03229,-1.489971,712.365395
0.039,13.234361,-1.16828,711.41301
0.04,13.476052,-1.127458,711.099373
0.041,13.475797,-1.16828,709.991684
0.042,13.677612,-1.127458,709.051811
0.043,13.717617,-1.167836,710.475739
0.044,13.919559,-1.327572,710.480461
0.045,14.040213,-1.287194,709.372627
0.046,13.999953,-1.367062,709.058342
0.047,14.161507,-1.20777,710.790199
0.048,14.201639,-1.367506,708.421913
0.049,14.201512,-1.287194,708.58593
0.05,13.919687,-1.327128,707.169777
0.051,14.08073,-1.569395,706.378189
0.052,14.120607,-1.40744,707.957336
0.053,13.758006,-1.448262,706.846542
0.054,13.6771,-1.568064,705.419106
0.055,13.959181,-1.287194,707.153946
0.056,13.354248,-1.56762,704.949654
0.057,13.354248,-1.408328,705.418617
0.058,13.031267,-1.689197,705.741249
0.059,13.353992,-1.488639,704.949821
0.06,12.910869,-1.44915,704.156273
0.061,12.789703,-1.408772,703.525215
0.062,12.466979,-1.288082,703.525185
0.063,12.789703,-1.489971,703.209938
0.064,12.385946,-1.248147,703.203209
0.065,12.42659,-1.127902,703.520119
0.066,12.023343,-1.006768,704.148689
0.067,12.264908,-0.886523,704.458054
0.068,11.983211,-0.805767,704.459595
0.069,11.902178,-0.685965,704.14624
0.07,11.902306,-0.967278,702.253128
0.071,11.740623,-0.646918,702.560692
0.072,11.700108,-0.526672,703.668259
0.073,11.740496,-0.606097,703.197304
0.074,11.498676,-0.605209,703.666969
0.075,11.458671,-0.405539,703.037231
0.076,11.337506,-0.365605,702.720383
0.077,11.256729,-0.446361,703.502785
0.078,11.337378,-0.245359,704.613777
0.079,11.09543,-0.28618,704.455124
0.08,11.095558,-0.36738,703.024956
0.081,10.974393,-0.365161,703.345993
0.082,10.772706,-0.367824,703.49913
0.083,10.853355,-0.287512,703.342674
0.084,10.53063,-0.367824,703.497993
0.085,10.167517,-0.327002,704.604729
0.086,10.00673,-0.488958,703.338074
0.087,9.603484,-0.287068,704.125938
0.088,9.88582,-0.649137,702.550407
0.089,9.845432,-0.72945,703.648254
0.09,9.199727,-0.488958,702.225479
0.091,8.957907,-0.770271,703.960442
0.092,8.958163,-0.650025,703.966644
0.093,8.836997,-0.490289,704.279274
0.094,8.59505,-0.528892,703.493279
0.095,8.514145,-0.691734,703.174187
0.096,8.352974,-0.329222,703.642059
0.097,8.151287,-0.450355,703.800339
0.098,8.191676,-0.490289,703.640419
0.099,8.111026,-0.531555,703.012962
0.1,8.232064,-0.250241,704.271767
0.101,7.989989,-0.491177,703.636642
0.102,8.030889,-0.330997,704.115234
0.103,7.869079,-0.170373,705.220665
0.104,7.990117,-0.289731,705.532013
0.105,7.78843,-0.130439,705.063889
0.106,7.909979,-0.653131,705.373886
0.107,7.707908,-0.330997,705.219574
0.108,7.909723,-0.371375,704.741707
0.109,7.909467,-0.451242,704.893456
0.11,7.990373,-0.411753,705.691132
0.111,7.90934,-0.251129,704.904236
0.112,7.708164,-0.611866,704.902306
0.113,7.869335,-0.612754,704.429192
0.114,7.9496,-0.772934,706.170242
0.115,7.748297,-0.57282,704.42186
0.116,7.949472,-0.732556,703.944031
0.117,7.989861,-0.732112,704.423149
0.118,7.990245,-0.652245,704.422348
0.119,7.949728,-0.693066,704.421692
0.12,7.869335,-0.291063,704.895233
0.121,7.990245,-0.692179,704.107269
0.122,7.989989,-0.491177,704.577682
0.123,7.990245,-0.531998,705.843811
0.124,8.111155,-0.492064,704.107521
